method,path,body,single_q,double_q,dashes,braces,spaces,badWords,type
GET,/cgi-bin/le_check_v3.exe,,0,0,0,0,0,0,1
GET,/,,0,0,0,0,0,0,1
GET,/MnB5T79w,,0,0,0,0,0,0,1
GET,/VDn0j7Uu,,0,0,0,0,0,0,1
GET,/WKE0MnE2,,0,0,0,0,0,0,1
GET,/,,0,0,0,0,0,0,1
POST,/login,password=g00dPa%24%24w0rD&username=admin,0,0,0,0,0,0,1
GET,/robots.txt,,0,0,0,0,0,0,1
GET,/static/app/app.js,,0,0,0,0,0,0,1
GET,/login,,0,0,0,0,0,0,1
GET,/static/app/libs/sessvars.js,,0,0,0,0,0,0,1
GET,/static/app/services/itemsService.js,,0,0,0,0,0,0,1
GET,/static/app/controllers/controllers.js,,0,0,0,0,0,0,1
GET,/static/app/post.js,,0,0,0,0,0,0,1
GET,/static,,0,0,0,0,0,0,1
GET,/static/css,,0,0,0,0,0,0,1
GET,/static/app,,0,0,0,0,0,0,1
GET,/static/app/controllers,,0,0,0,0,0,0,1
GET,/static/app/libs,,0,0,0,0,0,0,1
GET,/static/img,,0,0,0,0,0,0,1
GET,/static/app/services,,0,0,0,0,0,0,1
GET,/static/img/,,0,0,0,0,0,0,1
GET,/static/app/controllers/,,0,0,0,0,0,0,1
GET,/static/css/,,0,0,0,0,0,0,1
GET,/sitemap.xml.gz,,0,0,0,0,0,0,1
GET,/static/app/,,0,0,0,0,0,0,1
GET,/static/app/services/,,0,0,0,0,0,0,1
GET,/sitemap.xml,,0,0,0,0,0,0,1
GET,/static/app/libs/,,0,0,0,0,0,0,1
GET,/,,0,0,0,0,0,0,1
GET,/logout,,0,0,0,0,0,0,1
GET,/twitter-bootstrap/2.3.1/js/bootstrap.min.js,,0,0,0,0,0,0,1
GET,/jquery-1.9.1.min.js,,0,0,0,0,0,0,1
GET,/ad.js,,0,0,0,0,0,0,1
GET,/ajax/libs/angularjs/1.0.6/angular.min.js,,0,0,0,0,0,0,1
GET,/static/app/partials/popular.html,,0,0,0,0,0,0,1
GET,/static/app/partials/itemsList.html,,0,0,0,0,0,0,1
GET,/ajax/popular?offset=0,,0,0,0,0,0,0,1
POST,/forgotpw,<forgot><username>e</username></forgot>,0,0,0,0,0,0,1
GET,/static/app/partials/latest.html,,0,0,0,0,0,0,1
GET,/ajax/latest?offset=0,,0,0,0,0,0,0,1
GET,/static/app/partials/carousel.html,,0,0,0,0,0,0,1
GET,/static/app/partials/archive.html,,0,0,0,0,0,0,1
GET,/ajax/archive,,0,0,0,0,0,0,1
GET,/static/app/partials/about.html,,0,0,0,0,0,0,1
GET,/static/app/partials/contact.html,,0,0,0,0,0,0,1
GET,/ajax/popular?offset=-5,,0,0,0,0,0,0,1
GET,/ajax/popular?offset=5,,0,0,0,0,0,0,1
GET,/ajax/latest?offset=-5,,0,0,0,0,0,0,1
GET,/ajax/latest?offset=5,,0,0,0,0,0,0,1
GET,/ajax/popular?offset=10,,0,0,0,0,0,0,1
GET,/ajax/latest?offset=NaN,,0,0,0,0,0,0,1
GET,/ajax/popular?offset=NaN,,0,0,0,0,0,0,1
POST,/contact,address=3137%20Laguna%20Street&firstName=eeivvmbd&lastName=jfmfnvxy&message=20&subject=service,0,0,0,0,2,0,1
POST,/contact,address=3137%20Laguna%20Street&firstName=xsitlqrh&lastName=hlnrobry&message=20&subject=suggestions,0,0,0,0,2,0,1
POST,/contact,address=3137%20Laguna%20Street&firstName=hhkmlakq&lastName=svewccyd&message=20&subject=product,0,0,0,0,2,0,1
POST,/contact,address=3137%20Laguna%20Street&firstName=implikrm&lastName=iqviaasc&message=20&subject=na,0,0,0,0,2,0,1
GET,/ajax/latest,,0,0,0,0,0,0,1
GET,/ajax/popular,,0,0,0,0,0,0,1
GET,/forgotpw,,0,0,0,0,0,0,1
GET,/contact,,0,0,0,0,0,0,1
GET,/ajax,,0,0,0,0,0,0,1
GET,/static/app/partials,,0,0,0,0,0,0,1
GET,/static/app/partials/,,0,0,0,0,0,0,1
