method,path,body,single_q,double_q,dashes,braces,spaces,badWords,type
GET,/cgi-bin/le_check_v3.exe,,0,0,0,0,0,0,1
GET,/,,0,0,0,0,0,0,1
GET,/IhXPXTbl,,0,0,0,0,0,0,1
GET,/QGJYtvPR,,0,0,0,0,0,0,1
GET,/KexEbEGD,,0,0,0,0,0,0,1
GET,/,,0,0,0,0,0,0,1
GET,/search.jsp,,0,0,0,0,0,0,1
GET,/favicon.ico,,0,0,0,0,0,0,1
GET,/index.jsp,,0,0,0,0,0,0,1
GET,/search.jsp?query=1,,0,0,0,0,0,0,1
GET,/index.jsp?content=business_retirement.htm,,0,0,0,0,0,0,1
GET,/index.jsp?content=inside_about.htm,,0,0,0,0,0,0,1
GET,/index.jsp?content=inside.htm,,0,0,0,0,0,0,1
GET,/robots.txt,,0,0,0,0,0,0,1
GET,/index.jsp?content=business_other.htm,,0,0,0,0,0,0,1
GET,/index.jsp?content=business_deposit.htm,,0,0,0,0,0,0,1
GET,/index.jsp?content=business.htm,,0,0,0,0,0,0,1
GET,/index.jsp?content=business_lending.htm,,0,0,0,0,0,0,1
GET,/index.jsp?content=business_cards.htm,,0,0,0,0,0,0,1
GET,/index.jsp?content=personal_loans.htm,,0,0,0,0,0,0,1
GET,/login.jsp,,0,0,0,0,0,0,1
GET,/subscribe.jsp,,0,0,0,0,0,0,1
GET,/default.jsp?content=security.htm,,0,0,0,0,0,0,1
GET,/index.jsp?content=business_insurance.htm,,0,0,0,0,0,0,1
GET,/default.jsp,,0,0,0,0,0,0,1
GET,/status_check.jsp,,0,0,0,0,0,0,1
GET,/survey_questions.jsp,,0,0,0,0,0,0,1
GET,/feedback.jsp,,0,0,0,0,0,0,1
GET,/swagger,,0,0,0,0,0,0,1
GET,/swagger/index.html,,0,0,0,0,0,0,1
GET,/images,,0,0,0,0,0,0,1
POST,/doSubscribe,btnSubmit=Subscribe&txtEmail=sample%40email.tst,0,0,0,0,0,0,1
GET,/inside_points_of_interest.htm,,0,0,0,0,0,0,1
GET,/pr,,0,0,0,0,0,0,1
GET,/high_yield_investments.htm,,0,0,0,0,0,0,1
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/grouplife.htm,,0,0,0,0,3,0,1
GET,/sitemap.xml.gz,,0,0,0,0,0,0,1
GET,/doSubscribe,,0,0,0,0,0,0,1
GET,/sitemap.xml,,0,0,0,0,0,0,1
GET,/retirement.htm,,0,0,0,0,0,0,1
GET,/my%20documents,,0,0,0,0,1,0,1
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=1,0,0,0,0,0,1,1
GET,/doLogin,,0,0,0,0,0,0,1
GET,/survey_questions.jsp?step=a,,0,0,0,0,0,0,1
GET,/swagger/swagger-ui-standalone-preset.js,,0,0,0,0,0,0,1
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents,,0,0,0,0,3,0,1
GET,/my%20documents/JohnSmith,,0,0,0,0,1,0,1
GET,/swagger/swagger-ui-bundle.js,,0,0,0,0,0,0,1
GET,/images/,,0,0,0,0,0,0,1
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=mhcfatbn&subject=1,0,0,0,0,0,0,1
GET,/sendFeedback,,0,0,0,0,0,0,1
GET,/swagger/,,0,0,0,0,0,0,1
GET,/pr/,,0,0,0,0,0,0,1
GET,/security.htm,,0,0,0,0,0,0,1
GET,/survey_questions.jsp?step=b,,0,0,0,0,0,0,1
GET,/,,0,0,0,0,0,0,1
GET,/altoro/images/gradient.jpg,,0,0,0,0,0,0,1
GET,/favicon.ico,,0,0,0,0,0,0,1
GET,/favicon.ico,,0,0,0,0,0,0,1
GET,/favicon.ico,,0,0,0,0,0,0,1
GET,/favicon.ico,,0,0,0,0,0,0,1
GET,/util/serverStatusCheckService.jsp?HostName=AltoroMutual,,0,0,0,0,0,0,1
GET,/util/serverStatusCheckService.jsp,,0,0,0,0,0,0,1
GET,/altoro,,0,0,0,0,0,0,1
GET,/util,,0,0,0,0,0,0,1
GET,/altoro/images,,0,0,0,0,0,0,1
GET,/util/,,0,0,0,0,0,0,1
