method,path,body,single_q,double_q,dashes,braces,spaces,badWords,type
GET,/,,0,0,0,0,0,0,0
GET,/acunetix-wvs-test-for-some-inexistent-file,,0,0,0,0,0,0,0
GET,/cgi-bin/le_check_v3.exe,,0,0,0,0,0,0,0
GET,/,,0,0,0,0,0,0,0
GET,/OuQR7YZ3,,0,0,0,0,0,0,0
GET,/AR5zDcnj,,0,0,0,0,0,0,0
GET,/HzdTeskn,,0,0,0,0,0,0,0
GET,/,,0,0,0,0,0,0,0
GET,/robots.txt,,0,0,0,0,0,0,0
GET,/index.jsp,,0,0,0,0,0,0,0
GET,/search.jsp,,0,0,0,0,0,0,0
GET,/index.jsp?content=business_other.htm,,0,0,0,0,0,0,0
GET,/search.jsp?query=1,,0,0,0,0,0,0,0
GET,/index.jsp?content=inside.htm,,0,0,0,0,0,0,0
GET,/index.jsp?content=business_retirement.htm,,0,0,0,0,0,0,0
GET,/index.jsp?content=inside_about.htm,,0,0,0,0,0,0,0
GET,/index.jsp?content=business_deposit.htm,,0,0,0,0,0,0,0
GET,/favicon.ico,,0,0,0,0,0,0,0
GET,/index.jsp?content=business_insurance.htm,,0,0,0,0,0,0,0
GET,/index.jsp?content=personal_loans.htm,,0,0,0,0,0,0,0
GET,/index.jsp?content=business_lending.htm,,0,0,0,0,0,0,0
GET,/subscribe.jsp,,0,0,0,0,0,0,0
GET,/index.jsp?content=business_cards.htm,,0,0,0,0,0,0,0
GET,/login.jsp,,0,0,0,0,0,0,0
GET,/default.jsp,,0,0,0,0,0,0,0
GET,/index.jsp?content=business.htm,,0,0,0,0,0,0,0
GET,/default.jsp?content=security.htm,,0,0,0,0,0,0,0
GET,/status_check.jsp,,0,0,0,0,0,0,0
GET,/images,,0,0,0,0,0,0,0
GET,/survey_questions.jsp,,0,0,0,0,0,0,0
GET,/swagger/index.html,,0,0,0,0,0,0,0
GET,/feedback.jsp,,0,0,0,0,0,0,0
GET,/swagger,,0,0,0,0,0,0,0
POST,/doLogin,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=1,0,0,0,0,0,1,0
GET,/pr,,0,0,0,0,0,0,0
GET,/high_yield_investments.htm,,0,0,0,0,0,0,0
GET,/retirement.htm,,0,0,0,0,0,0,0
GET,/sitemap.xml.gz,,0,0,0,0,0,0,0
GET,/doLogin,,0,0,0,0,0,0,0
GET,/inside_points_of_interest.htm,,0,0,0,0,0,0,0
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents/grouplife.htm,,0,0,0,0,3,0,0
GET,/my%20documents,,0,0,0,0,1,0,0
GET,/sitemap.xml,,0,0,0,0,0,0,0
POST,/doSubscribe,btnSubmit=Subscribe&txtEmail=sample%40email.tst,0,0,0,0,0,0,0
GET,/my%20documents/JohnSmith/Bank%20Site%20Documents,,0,0,0,0,3,0,0
GET,/doSubscribe,,0,0,0,0,0,0,0
GET,/my%20documents/JohnSmith,,0,0,0,0,1,0,0
GET,/images/,,0,0,0,0,0,0,0
GET,/swagger/swagger-ui-bundle.js,,0,0,0,0,0,0,0
GET,/swagger/swagger-ui-standalone-preset.js,,0,0,0,0,0,0,0
GET,/survey_questions.jsp?step=a,,0,0,0,0,0,0,0
GET,/sendFeedback,,0,0,0,0,0,0,0
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=tkhliumv&subject=1,0,0,0,0,0,0,0
GET,/swagger/,,0,0,0,0,0,0,0
GET,/security.htm,,0,0,0,0,0,0,0
GET,/pr/,,0,0,0,0,0,0,0
GET,/survey_questions.jsp?step=b,,0,0,0,0,0,0,0
GET,/,,0,0,0,0,0,0,0
GET,/altoro/images/gradient.jpg,,0,0,0,0,0,0,0
GET,/favicon.ico,,0,0,0,0,0,0,0
GET,/favicon.ico,,0,0,0,0,0,0,0
GET,/favicon.ico,,0,0,0,0,0,0,0
GET,"/swagger/index.html?wvstest=javascript:domxssExecutionSink(1,%22'%5C%22%3E%3Cxsstag%3E()locxss%22)",,1,3,0,2,0,0,0
GET,/swagger/swagger-ui-standalone-preset.js,,0,0,0,0,0,0,0
GET,/swagger/swagger-ui-bundle.js,,0,0,0,0,0,0,0
GET,/util/serverStatusCheckService.jsp?HostName=AltoroMutual,,0,0,0,0,0,0,0
GET,"/high_yield_investments.htm?wvstest=javascript:domxssExecutionSink(1,%22'%5C%22%3E%3Cxsstag%3E()locxss%22)",,1,3,0,2,0,0,0
GET,"/subscribe.jsp?wvstest=javascript:domxssExecutionSink(1,%22'%5C%22%3E%3Cxsstag%3E()locxss%22)",,1,3,0,2,0,0,0
GET,"/status_check.jsp?wvstest=javascript:domxssExecutionSink(1,%22'%5C%22%3E%3Cxsstag%3E()locxss%22)",,1,3,0,2,0,0,0
GET,/altoro/images/gradient.jpg,,0,0,0,0,0,0,0
GET,"/login.jsp?wvstest=javascript:domxssExecutionSink(1,%22'%5C%22%3E%3Cxsstag%3E()locxss%22)",,1,3,0,2,0,0,0
GET,/util,,0,0,0,0,0,0,0
GET,/altoro/images,,0,0,0,0,0,0,0
GET,/util/serverStatusCheckService.jsp,,0,0,0,0,0,0,0
GET,/altoro,,0,0,0,0,0,0,0
GET,/util/,,0,0,0,0,0,0,0
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=tquhvjrr&subject=1,0,0,0,0,0,0,0
GET,/high_yield_investments.htm,,0,0,0,0,0,0,0
GET,/util/serverStatusCheckService.jsp?HostName=1'%22,,1,1,0,0,0,0,0
POST,/sendFeedback,submit=Submit&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=dudxbugh&subject=1,0,0,0,0,0,0,0
GET,/util/serverStatusCheckService.jsp?HostName=AltoroMutual,,0,0,0,0,0,0,0
GET,/swagger/index.html,,0,0,0,0,0,0,0
GET,/high_yield_investments.htm,,0,0,0,0,0,0,0
GET,/search.jsp?query=1,,0,0,0,0,0,0,0
GET,/search.jsp?query=1'%22,,1,1,0,0,0,0,0
GET,/swagger/index.html,,0,0,0,0,0,0,0
POST,/sendFeedback,submit=Submit&cfile=1'%22&comments=1&email_addr=sample%40email.tst&name=tquhvjrr&subject=1,1,1,0,0,0,0,0
GET,/1'%22.htm,,1,1,0,0,0,0,0
GET,/util/serverStatusCheckService.jsp?HostName=%5c,,0,0,0,0,0,0,0
GET,/swagger/1'%22.html,,1,1,0,0,0,0,0
GET,/search.jsp?query=%5c,,0,0,0,0,0,0,0
